workerId,cond,group,valence,s1_color,valrating,arrating,exprating,IES,RT,correct
15750,learning,UG,neg,blue,50,50,50,970.775,971,1
15750,learning,UG,neg,blue,50,50,50,826.775,827,1
15750,learning,UG,neu,red,50,50,50,761.775,762,0
15750,learning,UG,neg,red,50,50,50,712.775,713,1
15750,learning,UG,neu,blue,50,50,50,656.775,657,1
15750,learning,UG,neu,red,50,50,50,601.775,602,1
15750,learning,UG,neu,blue,50,50,50,564.775,565,1
15750,learning,UG,neg,red,50,50,50,527.775,528,1
15750,learning,UG,neg,red,50,50,50,501.775,502,0
15750,learning,UG,neu,blue,50,50,50,534.775,535,1
15750,learning,UG,neg,blue,50,50,50,509.775,510,1
15750,learning,UG,neu,blue,50,50,50,497.775,498,1
15750,learning,UG,neg,blue,50,50,50,483.775,484,1
15750,learning,UG,neg,blue,50,50,50,472.775,473,1
15750,learning,UG,neg,blue,50,50,50,458.775,459,1
15750,learning,UG,neg,blue,50,50,50,444.775,445,0
15750,learning,UG,neu,red,50,50,50,440.775,441,1
15750,learning,UG,neg,blue,50,50,50,427.775,428,1
15750,learning,UG,neu,red,50,50,50,422.775,423,1
15750,learning,UG,neu,red,50,50,50,410.775,411,1
15750,learning,UG,neu,red,50,50,50,404.775,405,0
15750,learning,UG,neu,red,50,50,50,397.775,398,0
15750,learning,UG,neg,red,50,50,50,392.775,393,0
15750,learning,UG,neg,red,50,50,50,395.775,396,1
15750,learning,UG,neu,blue,50,50,50,389.775,390,1
15750,learning,UG,neg,red,50,50,50,385.775,386,1
15750,learning,UG,neu,blue,50,50,50,378.775,379,1
15750,learning,UG,neg,red,50,50,50,372.775,373,0
15750,learning,UG,neu,blue,50,50,50,366.775,367,0
15750,learning,UG,neg,red,50,50,50,364.775,365,1
15750,learning,UG,neu,blue,50,50,50,358.775,359,1
15750,learning,UG,neu,blue,50,50,50,356.775,357,1
15750,learning,UG,neg,blue,50,50,50,352.775,353,1
15750,learning,UG,neu,red,50,50,50,351.775,352,1
15750,learning,UG,neu,blue,50,50,50,349.775,350,1
15750,learning,UG,neg,red,50,50,50,347.775,348,1
15750,learning,UG,neg,blue,50,50,50,343.775,344,1
15750,learning,UG,neg,red,50,50,50,340.775,341,0
15750,learning,UG,neu,red,50,50,50,337.775,338,1
15750,learning,UG,neu,red,50,50,50,334.775,335,1
15750,exp,UG,neu,red,100,1,49,334.775,335,1
15750,val_arr,UG,neg,blue,11,61,49,334.775,335,1
15750,val_arr,UG,neg,blue,18,71,49,334.775,335,1
15750,val_arr,UG,neg,blue,1,100,49,334.775,335,1
15750,val_arr,UG,neu,red,56,6,49,334.775,335,1
15750,val_arr,UG,neg,blue,19,58,49,334.775,335,1
15750,val_arr,UG,neg,blue,47,49,49,334.775,335,1
15750,exp,UG,neg,red,47,49,41,334.775,335,1
15750,exp,UG,neg,blue,47,49,69,334.775,335,1
15750,exp,UG,neu,red,47,49,49,334.775,335,1
15750,exp,UG,neu,red,47,49,57,334.775,335,1
15750,exp,UG,neu,red,47,49,32,334.775,335,1
15750,exp,UG,neg,blue,47,49,57,334.775,335,1
15750,exp,UG,neg,blue,47,49,72,334.775,335,1
15750,exp,UG,neg,blue,47,49,80,334.775,335,1
15750,val_arr,UG,neu,red,56,25,80,334.775,335,1
15750,val_arr,UG,neu,blue,82,31,80,334.775,335,1
15750,exp,UG,neg,blue,82,31,58,334.775,335,1
15750,exp,UG,neg,red,82,31,42,334.775,335,1
15750,exp,UG,neu,red,82,31,56,334.775,335,1
15750,val_arr,UG,neu,red,64,27,56,334.775,335,1
15750,val_arr,UG,neg,red,16,63,56,334.775,335,1
15750,val_arr,UG,neg,blue,43,53,56,334.775,335,1
15750,val_arr,UG,neu,blue,52,21,56,334.775,335,1
15750,val_arr,UG,neu,red,61,5,56,334.775,335,1
15750,exp,UG,neg,blue,61,5,57,334.775,335,1
15750,val_arr,UG,neg,red,49,18,57,334.775,335,1
15750,exp,UG,neu,blue,49,18,61,334.775,335,1
15750,val_arr,UG,neu,red,56,41,61,334.775,335,1
15750,val_arr,UG,neu,red,53,10,61,334.775,335,1
15750,val_arr,UG,neg,blue,0,79,61,334.775,335,1
15750,exp,UG,neg,red,0,79,37,334.775,335,1
15750,exp,UG,neu,red,0,79,67,334.775,335,1
15750,exp,UG,neg,blue,0,79,61,334.775,335,1
15750,val_arr,UG,neg,blue,26,64,61,334.775,335,1
15750,val_arr,UG,neg,blue,33,59,61,334.775,335,1
15750,val_arr,UG,neu,red,50,44,61,334.775,335,1
15750,exp,UG,neu,blue,50,44,56,334.775,335,1
15750,val_arr,UG,neg,red,38,56,56,334.775,335,1
15750,val_arr,UG,neg,blue,37,51,56,334.775,335,1
15750,val_arr,UG,neg,red,29,60,56,334.775,335,1
15750,exp,UG,neg,blue,29,60,42,334.775,335,1
15750,val_arr,UG,neu,red,45,28,42,334.775,335,1
